sample_id,native_label,proposed_canonical_label,review_decision,final_canonical_label,geometry_decision,annotation_status,reviewer_id,review_notes
dacl_0008,Crack|Rockpocket|Rust|Spalling,crack|honeycombing_rock_pocket|rust_staining|spalling,accept,crack|honeycombing_rock_pocket|rust_staining|spalling,accept,positive,Mario,Accepted source-native DACL mappings; rust is visible evidence only.
s2ds_0008,corrosion|efflorescence,rust_staining|efflorescence_leaching,accept,rust_staining|efflorescence_leaching,accept,positive,Mario,"Accepted S2DS color mappings; corrosion maps weakly to visible rust staining, not confirmed internal corrosion."
s2ds_0013,corrosion,rust_staining,accept,rust_staining,accept,positive,Mario,Accepted weak S2DS corrosion-to-visible-rust-staining mapping; not confirmed internal corrosion.
s2ds_0014,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0015,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0016,corrosion,rust_staining,accept,rust_staining,accept,positive,Mario,Accepted weak S2DS corrosion-to-visible-rust-staining mapping; not confirmed internal corrosion.
s2ds_0017,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0018,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0019,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0020,corrosion,rust_staining,accept,rust_staining,accept,positive,Mario,Accepted weak S2DS corrosion-to-visible-rust-staining mapping; not confirmed internal corrosion.
s2ds_0021,corrosion,rust_staining,accept,rust_staining,accept,positive,Mario,Accepted weak S2DS corrosion-to-visible-rust-staining mapping; not confirmed internal corrosion.
s2ds_0022,corrosion,rust_staining,accept,rust_staining,accept,positive,Mario,Accepted weak S2DS corrosion-to-visible-rust-staining mapping; not confirmed internal corrosion.
s2ds_0023,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0024,corrosion,rust_staining,accept,rust_staining,accept,positive,Mario,Accepted weak S2DS corrosion-to-visible-rust-staining mapping; not confirmed internal corrosion.
s2ds_0026,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0027,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0028,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0029,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0030,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0031,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0032,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0033,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0034,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0035,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0036,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0037,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0038,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0039,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0040,corrosion|spalling,rust_staining|spalling,accept,rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0051,corrosion|crack,crack|rust_staining,accept,crack|rust_staining,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0061,corrosion|crack,crack|rust_staining,accept,crack|rust_staining,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0073,corrosion|crack|spalling,crack|rust_staining|spalling,accept,crack|rust_staining|spalling,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
s2ds_0076,corrosion|crack,crack|rust_staining,accept,crack|rust_staining,accept,positive,Mario,Accepted S2DS mappings; corrosion maps weakly to visible rust staining.
